filename,path,event_type,timestamp
/Users/weilanliang/Documents/.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 17:34:58
/Users/weilanliang/Documents/new 2 2,/Users/weilanliang/Documents,Modified,2025-03-09 17:34:58
/Users/weilanliang/Documents/.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 17:35:03
/Users/weilanliang/Documents/new 2 2,/Users/weilanliang/Documents,Deleted,2025-03-09 18:07:55
/Users/weilanliang/Documents/.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 18:07:56
/Users/weilanliang/Documents/new 2 2,/Users/weilanliang/Documents,Created,2025-03-09 18:07:56
/Users/weilanliang/Documents/.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 18:08:01
/Users/weilanliang/Documents/new 2 2,/Users/weilanliang/Documents,Deleted,2025-03-09 18:10:56
/Users/weilanliang/Documents/.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 18:10:58
/Users/weilanliang/Documents/new 2 2,/Users/weilanliang/Documents,Created,2025-03-09 18:10:58
/Users/weilanliang/Documents/.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 18:11:03
/Users/weilanliang/Documents/new 2 2,/Users/weilanliang/Documents,Deleted,2025-03-09 18:14:24
/Users/weilanliang/Documents/.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 18:14:26
/Users/weilanliang/Documents/new 2 2,/Users/weilanliang/Documents,Created,2025-03-09 18:14:26
/Users/weilanliang/Documents/.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 18:14:31
/Users/weilanliang/Documents/new 2 2,/Users/weilanliang/Documents,Deleted,2025-03-09 18:15:28
/Users/weilanliang/Documents/.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 18:15:30
/Users/weilanliang/Documents/new 2 2,/Users/weilanliang/Documents,Created,2025-03-09 18:15:30
/Users/weilanliang/Documents/.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 18:15:35
/Users/weilanliang/Documents/new 2 2,/Users/weilanliang/Documents,Deleted,2025-03-09 18:18:52
/Users/weilanliang/Documents/.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 18:18:53
/Users/weilanliang/Documents/new 2 2,/Users/weilanliang/Documents,Created,2025-03-09 18:18:53
/Users/weilanliang/Documents/.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 18:18:58
.DS_Store,,Modified,2025-03-09 18:21:55
new 2 2.txt,/Users/weilanliang/Documents,Deleted,2025-03-09 18:30:52
.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 18:30:54
new 2 2.txt,/Users/weilanliang/Documents,Created,2025-03-09 18:30:54
.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 18:30:59
.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 18:31:21
new 2 2.txt,/Users/weilanliang/Documents,Deleted,2025-03-09 18:32:39
.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 18:32:41
new 2 2.txt,/Users/weilanliang/Documents,Created,2025-03-09 18:32:41
.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 18:34:15
.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 18:34:21
new 2 2.txt,/Users/weilanliang/Documents,Deleted,2025-03-09 19:10:55
.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 19:10:56
new 2 2.txt,/Users/weilanliang/Documents,Created,2025-03-09 19:10:56
.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-09 19:11:01
.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-11 23:27:42
sf.csv,/Users/weilanliang/Documents,Deleted,2025-03-11 23:27:48
.DS_Store,/Users/weilanliang/Documents,Modified,2025-03-11 23:28:21
